name,N,alpha0_best,A_morph,chi2_WT_best,chi2_WT_kappa,chi2_MOND,chi2_LCDM,WT_wins,MOND_wins,LCDM_wins,delta_chi2_WT_MOND,delta_chi2_WT_LCDM,Vmax_kms,Rout_kpc,f_gas_mean,f_gas_outer,M200_Msun,log10_M200,a_char,log10_a_char,m_used,A_morph_cluster,A_morph_cluster_confidence,A_morph_cluster_center
NGC4217,19,0.937,0.850796,68.9973,69.4274,84.3297,102.927,1,0,0,-15.3324,-33.9301,191.0,16.72,0.0197436,0.0472725,2314340000000.0,12.3644,7.07099e-11,-10.1505,1,1,1.0,1.1364993942857144
NGC4389,6,0.05,0.0454,43.2041,65.2687,79.8691,98.3133,1,0,0,-36.665,-55.1092,110.0,5.32,0.0117529,0.0239757,442085000000.0,11.6455,7.37095e-11,-10.1325,1,1,1.0,1.1364993942857144
NGC4559,32,1.015,0.92162,1.0266,1.63191,23.8274,7.91423,1,0,0,-22.8008,-6.88763,124.0,20.97,0.155536,0.388522,633276000000.0,11.8016,2.37626e-11,-10.6241,1,1,1.0,1.1364993942857144
NGC5005,18,0.05,0.0454,10.6898,11.4915,13.9676,16.8259,1,0,0,-3.27781,-6.13616,265.0,11.47,0.0436195,0.0356204,6181090000000.0,12.7911,1.98417e-10,-9.70242,1,1,1.0,1.1364993942857144
NGC5033,22,1.56,1.41648,36.3592,109.137,28.8463,22.1546,0,0,1,7.51298,14.2046,225.0,44.59,0.0810809,0.142556,3783340000000.0,12.5779,3.6794e-11,-10.4342,1,1,1.0,1.1364993942857144
NGC5055,28,0.77,0.69916,1912.96,2168.57,3524.64,4467.06,1,0,0,-1611.68,-2554.1,206.0,54.59,0.0467137,0.127234,2903550000000.0,12.4629,2.51925e-11,-10.5987,1,1,1.0,1.1364993942857144
NGC5371,19,0.547,0.496676,29.3415,102.89,276.646,419.947,1,0,0,-247.305,-390.605,242.0,46.24,0.025115,0.04711,4707320000000.0,12.6728,4.10452e-11,-10.3867,1,1,1.0,1.1364993942857144
NGC5585,24,1.17,1.06236,16.4987,17.3728,44.1894,38.9869,1,0,0,-27.6907,-22.4882,92.3,10.96,0.138601,0.464416,261176000000.0,11.4169,2.51908e-11,-10.5988,1,1,1.0,1.1364993942857144
NGC5907,19,1.224,1.11139,11.1547,20.5778,88.1621,71.8977,1,0,0,-77.0074,-60.7431,235.0,50.33,0.0896926,0.195303,4310540000000.0,12.6345,3.55597e-11,-10.449,1,1,1.0,1.1364993942857144
NGC5985,33,2.829,2.56873,45.2684,237.64,132.532,52.9895,1,0,0,-87.2637,-7.72118,305.0,34.72,0.0196188,0.0627776,9423830000000.0,12.9742,8.68299e-11,-10.0613,1,1,1.0,1.1364993942857144
